"Identifier","Pack"
"1altrtr","CLB_ASSETS_colliery"
"1bltrtr","CLB_ASSETS_colliery"
"1cltrtr","CLB_ASSETS_colliery"
"Aspen Oak 1","aspentrees"
"aspen-2s-calloway","aspenhouses2"
"aspen-ballast-pier","aspenjassets"
"aspen-barrel","aspenclutter"
"aspen-basic-platform","aspenjassets"
"aspen-box","aspenclutter"
"aspen-corner-drug","aspensassets"
"aspen-crossing-straight","aspensassets"
"aspenflat10","aspensassets"
"aspenflat20","aspensassets"
"aspenflat5","aspensassets"
"aspenflat50","aspensassets"
"aspen-gen-wood-1","aspenswhittierassets"
"aspen-log-retain-10","aspensassets"
"aspen-log-retain-50","aspensassets"
"aspen-pancake-palace","aspenpancake"
"aspen-pancake-sign","aspenpancake"
"aspen-rjroone","aspensassets"
"aspen-roane-varner","aspenswhittierassets"
"aspen-station-bench","aspenclutter"
"aspen-stenzel","aspenswhittierassets"
"aspen-trestle-deck","aspenclutter"
"aspen-trestle-support","aspenclutter"
"aspen-whit-board-1","aspenswhittierassets"
"aspen-whit-board-2","aspenswhittierassets"
"aspen-whit-board-3","aspenswhittierassets"
"aspen-whit-bridge","aspenswhittierassets"
"aspen-whittier-bridge","aspensassets"
"aspen-whittier-depot","aspenwhittierdepot"
"aspen-whittier-depot-platform","aspenwhittierdepot"
"aspen-whittier-gas","aspensassets"
"aspen-whittier-platform","aspensassets"
"aspen-whittier-shed","aspensassets"
"aspen-whittier-shed-small","aspensassets"
"aspen-whittier-shed-tiny","aspensassets"
"aspen-whittier-warehouse","aspensassets"
"CLB_Beam01","CLB_ASSETS_01"
"CLB_Beam02","CLB_ASSETS_01"
"CLB_Block01","CLB_ASSETS_01"
"CLB_Block02","CLB_ASSETS_01"
"CLB_BrakeShoe","CLB_ASSETS_01"
"CLB_Bridge01_20","CLB_ASSETS_01"
"CLB_Bridge01_30","CLB_ASSETS_01"
"CLB_Bridge01_40","CLB_ASSETS_01"
"CLB_Bridge01_50","CLB_ASSETS_01"
"CLB_Cabbage01","CLB_ASSETS_01"
"CLB_CoalDump01","CLB_ASSETS_01"
"CLB_colliery_Baths01","CLB_ASSETS_colliery"
"CLB_colliery_BoilerHouse01","CLB_ASSETS_colliery"
"CLB_colliery_Conveyor_Long","CLB_ASSETS_colliery"
"CLB_colliery_Conveyor_Ramp","CLB_ASSETS_colliery"
"CLB_colliery_Conveyor_Short","CLB_ASSETS_colliery"
"CLB_colliery_ConveyorPillar12A","CLB_ASSETS_colliery"
"CLB_colliery_ConveyorPillar4.3S","CLB_ASSETS_colliery"
"CLB_colliery_ConveyorPillar5.4A","CLB_ASSETS_colliery"
"CLB_colliery_ConveyorPillar5.4S","CLB_ASSETS_colliery"
"CLB_colliery_ConveyorPillar8S","CLB_ASSETS_colliery"
"CLB_colliery_ConveyorTower01","CLB_ASSETS_colliery"
"CLB_colliery_FanHouse01","CLB_ASSETS_colliery"
"CLB_colliery_Headframe01","CLB_ASSETS_colliery"
"CLB_colliery_Silo01","CLB_ASSETS_colliery"
"CLB_colliery_WashingPlant01","CLB_ASSETS_colliery"
"CLB_colliery_WashingTank01","CLB_ASSETS_colliery"
"CLB_Conveyor01","CLB_ASSETS_01"
"CLB_DrillPress01","CLB_ASSETS_deko"
"CLB_Factory01","CLB_ASSETS_Buildings"
"CLB_Factory02","CLB_ASSETS_Buildings"
"CLB_Factory03_Frame","CLB_ASSETS_Buildings"
"CLB_Factory03_Sidewall0","CLB_ASSETS_Buildings"
"CLB_Factory03_Sidewall1","CLB_ASSETS_Buildings"
"CLB_Factory03_Sidewall2","CLB_ASSETS_Buildings"
"CLB_Factory03_Sidewall2W","CLB_ASSETS_Buildings"
"CLB_Factory03_Sidewall3","CLB_ASSETS_Buildings"
"CLB_Factory03_Sidewall3W","CLB_ASSETS_Buildings"
"CLB_Factory03_Sidewall4","CLB_ASSETS_Buildings"
"CLB_Factory03_Sidewall4W","CLB_ASSETS_Buildings"
"CLB_Factory03_Sidewall5","CLB_ASSETS_Buildings"
"CLB_Factory03_Sidewall6","CLB_ASSETS_Buildings"
"CLB_Factory03_Sidewall7","CLB_ASSETS_Buildings"
"CLB_Factory03_Wall40","CLB_ASSETS_Buildings"
"CLB_Factory03_Wall80","CLB_ASSETS_Buildings"
"CLB_GrainElevator01","CLB_ASSETS_Buildings"
"CLB_GrainElevator01_black","CLB_ASSETS_Buildings"
"CLB_HydraulicPress01","CLB_ASSETS_deko"
"CLB_Ladder01","CLB_ASSETS_01"
"CLB_Lamp01","CLB_ASSETS_01"
"CLB_Lamp02","CLB_ASSETS_01"
"CLB_Lamppost01","CLB_ASSETS_01"
"CLB_Lamppost02_12","CLB_ASSETS_01"
"CLB_Lamppost02_24","CLB_ASSETS_01"
"CLB_Lathe01","CLB_ASSETS_deko"
"CLB_LoadingGate01","CLB_ASSETS_01"
"CLB_Lumber01","CLB_ASSETS_01"
"CLB_Oil-Loader","CLB_ASSETS_01"
"CLB_Pile01","CLB_ASSETS_01"
"CLB_Pile01_Coal","CLB_ASSETS_01"
"CLB_Pile01_Gravel","CLB_ASSETS_01"
"CLB_Pile01_Sand","CLB_ASSETS_01"
"CLB_Pillar01","CLB_ASSETS_01"
"CLB_Pillar02_3","CLB_ASSETS_01"
"CLB_Pillar02_5","CLB_ASSETS_01"
"CLB_Pipe01","CLB_ASSETS_01"
"CLB_Pipe02","CLB_ASSETS_01"
"CLB_Pipe03","CLB_ASSETS_01"
"CLB_Plate","CLB_ASSETS_01"
"CLB_Plate10","CLB_ASSETS_01"
"CLB_Plate100","CLB_ASSETS_01"
"CLB_Plate25","CLB_ASSETS_01"
"CLB_Plate50","CLB_ASSETS_01"
"CLB_Plate75","CLB_ASSETS_01"
"CLB_Rail01","CLB_ASSETS_01"
"CLB_Ramp01","CLB_ASSETS_01"
"CLB_Reactor01","CLB_ASSETS_01"
"CLB_Roof01","CLB_ASSETS_01"
"CLB_Shed01","CLB_ASSETS_Buildings"
"CLB_Shed02","CLB_ASSETS_Buildings"
"CLB_Shop01_Crane_Bridge","CLB_ASSETS_Buildings"
"CLB_Shop01_Crane_Trolly","CLB_ASSETS_Buildings"
"CLB_Shop01_EndA_Closed","CLB_ASSETS_Buildings"
"CLB_Shop01_EndA_Door","CLB_ASSETS_Buildings"
"CLB_Shop01_EndA_Gates","CLB_ASSETS_Buildings"
"CLB_Shop01_EndA_Gates_Door","CLB_ASSETS_Buildings"
"CLB_Shop01_EndB_Closed","CLB_ASSETS_Buildings"
"CLB_Shop01_EndB_Door","CLB_ASSETS_Buildings"
"CLB_Shop01_EndB_Gates","CLB_ASSETS_Buildings"
"CLB_Shop01_EndB_Gates_Door","CLB_ASSETS_Buildings"
"CLB_Shop01_GateA","CLB_ASSETS_Buildings"
"CLB_Shop01_Middle","CLB_ASSETS_Buildings"
"CLB_Shop01_Middle_Gate","CLB_ASSETS_Buildings"
"CLB_Shop01_PreAssembled01","CLB_ASSETS_Buildings"
"CLB_Shop02","CLB_ASSETS_Buildings"
"CLB_Shop02_Gate","CLB_ASSETS_Buildings"
"CLB_Shop02_internal_Gate","CLB_ASSETS_Buildings"
"CLB_Silo01","CLB_ASSETS_01"
"CLB_Steel-Bar01","CLB_ASSETS_01"
"CLB_StrawBale01","CLB_ASSETS_01"
"CLB_StrawBale-Stack01","CLB_ASSETS_01"
"CLB_Tank01","CLB_ASSETS_01"
"CLB_Tank02","CLB_ASSETS_01"
"CLB_Text_AppTex","CLB_ASSETS_Text"
"CLB_Text_BrySteElec","CLB_ASSETS_Text"
"CLB_Text_MidsBakCo","CLB_ASSETS_Text"
"CLB_Text_MillElec","CLB_ASSETS_Text"
"CLB_Text_MurTex","CLB_ASSETS_Text"
"CLB_Text_RagCabCo","CLB_ASSETS_Text"
"CLB_Text_SmoMounSup","CLB_ASSETS_Text"
"CLB_Text_SoutChem","CLB_ASSETS_Text"
"CLB_Text_SteamShop","CLB_ASSETS_Text"
"CLB_Text_TucRivFurCo","CLB_ASSETS_Text"
"CLB_Text_Whittier","CLB_ASSETS_Text"
"CLB_Text_Whittier&WP","CLB_ASSETS_Text"
"CLB_Text_WP&Yukon","CLB_ASSETS_Text"
"CLB_Text_WPRepairShops","CLB_ASSETS_Text"
"CLB_Truck01","CLB_ASSETS_01"
"CLB_Truck01_blue","CLB_ASSETS_01"
"CLB_Truck01_red","CLB_ASSETS_01"
"CLB_TrussPipes01_Corner_Down45_Q","CLB_ASSETS_01"
"CLB_TrussPipes01_Corner_Down45_S","CLB_ASSETS_01"
"CLB_TrussPipes01_Corner_Down90_Q","CLB_ASSETS_01"
